ContractID,HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
4D0V4580,USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
4D0V4580,USA,USA-VM-0001-0004,1488,0.995000,1480.560000,0.850000,1264.800000
4D0V4580,USA,USA-DK-0001-0001,6829920,0.000250,1707.480000,0.000210,1434.283200
4D0V4580,USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
4D0V4580,-,Total,-,-,4598.682,-,3590.3618
76LV0B6Q,USA,USA-IP-0001-0001,2232,0.010000,22.320000,0.011000,24.552000
76LV0B6Q,USA,USA-SD-0001-0001,74400,0.000250,18.600000,0.000210,15.624000
76LV0B6Q,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
76LV0B6Q,USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
76LV0B6Q,USA,USA-DK-0002-0001,22320,0.000250,5.580000,0.000210,4.687200
76LV0B6Q,USA,USA-DK-0001-0001,446400,0.000250,111.600000,0.000210,93.744000
76LV0B6Q,-,Total,-,-,898.38,-,771.0072
7GYW92NC,USA,USA-IP-0001-0001,1750,0.010000,17.500000,0.011000,19.250000
7GYW92NC,USA,USA-SD-0001-0001,120000,0.000250,30.000000,0.000210,25.200000
7GYW92NC,USA,USA-VM-0001-0002,250,0.249000,62.250000,0.213000,53.250000
7GYW92NC,USA,USA-VM-0001-0001,250,0.125000,31.250000,0.106000,26.500000
7GYW92NC,USA,USA-NW-0001-0001,3,0.150000,0.450000,0.011000,0.033000
7GYW92NC,USA,USA-DK-0002-0001,125440,0.000250,31.360000,0.000210,26.342400
7GYW92NC,USA,USA-DK-0001-0001,25000,0.000250,6.250000,0.000210,5.250000
7GYW92NC,USA,USA-DK-0003-0001,300000,0.000250,75.000000,0.000210,63.000000
7GYW92NC,-,Total,-,-,254.06,-,218.8254
9KG5VO3Y,USA,USA-IP-0001-0001,4464,0.010000,44.640000,0.011000,49.104000
9KG5VO3Y,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
9KG5VO3Y,USA,USA-DK-0003-0001,952320,0.000250,238.080000,0.000210,199.987200
9KG5VO3Y,USA,USA-VM-0001-0011,2507,2.000000,5014.000000,1.700000,4261.900000
9KG5VO3Y,USA,USA-DK-0003-0002,5914800,0.000250,1478.700000,0.000210,1242.108000
9KG5VO3Y,USA,USA-SD-0001-0001,267840,0.000250,66.960000,0.000210,56.246400
9KG5VO3Y,USA,USA-DK-0002-0001,59520,0.000250,14.880000,0.000210,12.499200
9KG5VO3Y,USA,USA-DK-0001-0001,2194800,0.000250,548.700000,0.000210,460.908000
9KG5VO3Y,USA,USA-VM-0001-0003,516,0.497000,256.452000,0.425000,219.300000
9KG5VO3Y,-,Total,-,-,7662.412,-,6502.0528
A7DGZ3HL,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
A7DGZ3HL,USA,USA-SD-0001-0001,186000,0.000250,46.500000,0.000210,39.060000
A7DGZ3HL,USA,USA-VM-0001-0001,4460,0.125000,557.500000,0.106000,472.760000
A7DGZ3HL,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
A7DGZ3HL,USA,USA-DK-0001-0001,595200,0.000250,148.800000,0.000210,124.992000
A7DGZ3HL,-,Total,-,-,760.24,-,644.996
ADIOCRRJ,USA,USA-SD-0001-0001,14880,0.000250,3.720000,0.000210,3.124800
ADIOCRRJ,USA,USA-DK-0002-0001,7440,0.000250,1.860000,0.000210,1.562400
ADIOCRRJ,USA,USA-DK-0001-0001,44640,0.000250,11.160000,0.000210,9.374400
ADIOCRRJ,-,Total,-,-,16.74,-,14.0616
AY7ICA7U,USA,USA-SD-0001-0001,7440,0.000250,1.860000,0.000210,1.562400
AY7ICA7U,-,Total,-,-,1.86,-,1.5624
DKX3C1NG,USA,USA-IP-0001-0001,1488,0.010000,14.880000,0.011000,16.368000
DKX3C1NG,USA,USA-SD-0001-0001,59520,0.000250,14.880000,0.000210,12.499200
DKX3C1NG,-,Total,-,-,29.76,-,28.8672
EL6EUEE1,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
EL6EUEE1,USA,USA-SD-0001-0001,59520,0.000250,14.880000,0.000210,12.499200
EL6EUEE1,USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
EL6EUEE1,USA,USA-NW-0001-0001,8,0.150000,1.200000,0.011000,0.088000
EL6EUEE1,USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
EL6EUEE1,USA,USA-DK-0001-0001,1116000,0.000250,279.000000,0.000210,234.360000
EL6EUEE1,-,Total,-,-,1228.056,-,1046.0032
G7R5XUT5,USA,USA-IP-0001-0001,6696,0.010000,66.960000,0.011000,73.656000
G7R5XUT5,USA,USA-NW-0001-0001,150,0.150000,22.500000,0.011000,1.650000
G7R5XUT5,USA,USA-DK-0003-0001,66960,0.000250,16.740000,0.000210,14.061600
G7R5XUT5,USA,USA-DK-0003-0002,1874880,0.000250,468.720000,0.000210,393.724800
G7R5XUT5,USA,USA-SD-0001-0001,773760,0.000250,193.440000,0.000210,162.489600
G7R5XUT5,USA,USA-VM-0001-0002,3717,0.249000,925.533000,0.213000,791.721000
G7R5XUT5,USA,USA-VM-0001-0001,1488,0.125000,186.000000,0.106000,157.728000
G7R5XUT5,USA,USA-VM-0001-0004,5949,0.995000,5919.255000,0.850000,5056.650000
G7R5XUT5,USA,USA-NW-0002-0001,1488,0.036400,54.163200,0.023300,34.670400
G7R5XUT5,USA,USA-DK-0001-0001,7640880,0.000250,1910.220000,0.000210,1604.584800
G7R5XUT5,USA,USA-VM-0001-0003,8903,0.497000,4424.791000,0.425000,3783.775000
G7R5XUT5,-,Total,-,-,14188.3222,-,12074.7112
IXV1C9OV,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
IXV1C9OV,USA,USA-SD-0001-0001,7440,0.000250,1.860000,0.000210,1.562400
IXV1C9OV,-,Total,-,-,9.3,-,9.7464
IYYOVZTM,USA,USA-IP-0001-0001,2232,0.010000,22.320000,0.011000,24.552000
IYYOVZTM,USA,USA-NW-0001-0001,20,0.150000,3.000000,0.011000,0.220000
IYYOVZTM,USA,USA-SD-0001-0001,119040,0.000250,29.760000,0.000210,24.998400
IYYOVZTM,USA,USA-VM-0001-0001,744,0.125000,93.000000,0.106000,78.864000
IYYOVZTM,USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
IYYOVZTM,USA,USA-DK-0002-0001,7440,0.000250,1.860000,0.000210,1.562400
IYYOVZTM,USA,USA-DK-0001-0001,223200,0.000250,55.800000,0.000210,46.872000
IYYOVZTM,USA,USA-VM-0001-0003,744,0.497000,369.768000,0.425000,316.200000
IYYOVZTM,-,Total,-,-,1315.788,-,1125.6688
JDZSAY1M,USA,USA-IP-0001-0001,4290,0.010000,42.900000,0.011000,47.190000
JDZSAY1M,USA,USA-NW-0001-0001,1,0.150000,0.150000,0.011000,0.011000
JDZSAY1M,USA,USA-DK-0003-0001,1639440,0.000250,409.860000,0.000210,344.282400
JDZSAY1M,USA,USA-DK-0003-0002,12738900,0.000250,3184.725000,0.000210,2675.169000
JDZSAY1M,USA,USA-SD-0001-0001,149280,0.000250,37.320000,0.000210,31.348800
JDZSAY1M,USA,USA-DK-0002-0001,44640,0.000250,11.160000,0.000210,9.374400
JDZSAY1M,USA,USA-VM-0001-0004,3681,0.995000,3662.595000,0.850000,3128.850000
JDZSAY1M,USA,USA-DK-0001-0001,1444500,0.000250,361.125000,0.000210,303.345000
JDZSAY1M,-,Total,-,-,7709.835,-,6539.5706
KTGH8C81,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
KTGH8C81,USA,USA-SD-0001-0001,14880,0.000250,3.720000,0.000210,3.124800
KTGH8C81,USA,USA-VM-0001-0001,554,0.125000,69.250000,0.106000,58.724000
KTGH8C81,-,Total,-,-,80.41,-,70.0328
L11BUP10,USA,USA-IP-0001-0001,277,0.010000,2.770000,0.011000,3.047000
L11BUP10,USA,USA-VM-0001-0011,277,2.000000,554.000000,1.700000,470.900000
L11BUP10,USA,USA-SD-0001-0001,2770,0.000250,0.692500,0.000210,0.581700
L11BUP10,USA,USA-DK-0001-0001,1108000,0.000250,277.000000,0.000210,232.680000
L11BUP10,-,Total,-,-,834.4625,-,707.2087
LY3R2X3U,USA,USA-IP-0001-0001,5208,0.010000,52.080000,0.011000,57.288000
LY3R2X3U,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
LY3R2X3U,USA,USA-DK-0003-0001,52080,0.000250,13.020000,0.000210,10.936800
LY3R2X3U,USA,USA-DK-0003-0002,372000,0.000250,93.000000,0.000210,78.120000
LY3R2X3U,USA,USA-SD-0001-0001,74400,0.000250,18.600000,0.000210,15.624000
LY3R2X3U,USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
