ContractID,HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
LQHXU8R9,UKI,UKI-SD-0001-0001,822880,0.000160,131.660800,0.000130,106.974400
LQHXU8R9,UKI,UKI-DK-0003-0002,7440,0.000160,1.190400,0.000130,0.967200
LQHXU8R9,UKI,UKI-NW-0001-0001,9,0.121000,1.089000,0.007100,0.063900
LQHXU8R9,UKI,UKI-DK-0003-0001,118000,0.000160,18.880000,0.000130,15.340000
LQHXU8R9,UKI,UKI-VM-0001-0003,28,0.320000,8.960000,0.272400,7.627200
LQHXU8R9,UKI,UKI-VM-0001-0011,1,1.280000,1.280000,1.089700,1.089700
LQHXU8R9,UKI,UKI-NW-0002-0001,2510,0.023000,57.730000,0.014900,37.399000
LQHXU8R9,UKI,UKI-DK-0001-0001,1569860,0.000160,251.177600,0.000130,204.081800
LQHXU8R9,UKI,UKI-VM-0001-0001,1435,0.080000,114.800000,0.067900,97.436500
LQHXU8R9,UKI,UKI-VM-0001-0004,120,0.640000,76.800000,0.544900,65.388000
LQHXU8R9,UKI,UKI-IP-0001-0001,8107,0.008000,64.856000,0.007100,57.559700
LQHXU8R9,UKI,UKI-VM-0001-0002,4,0.160000,0.640000,0.136500,0.546000
MFSUSHIJ,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
MFSUSHIJ,UKI,UKI-DK-0003-0001,46400,0.000160,7.424000,0.000130,6.032000
MFSUSHIJ,UKI,UKI-IP-0001-0001,580,0.008000,4.640000,0.007100,4.118000
MFSUSHIJ,UKI,UKI-SD-0001-0001,46400,0.000160,7.424000,0.000130,6.032000
MFSUSHIJ,UKI,UKI-VM-0001-0002,1160,0.160000,185.600000,0.136500,158.340000
MG9BP62H,UKI,UKI-VM-0001-0004,144,0.640000,92.160000,0.544900,78.465600
MG9BP62H,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
MG9BP62H,UKI,UKI-VM-0001-0003,13,0.320000,4.160000,0.272400,3.541200
MG9BP62H,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
MG9BP62H,UKI,UKI-SD-0001-0001,74400,0.000160,11.904000,0.000130,9.672000
MG9BP62H,UKI,UKI-VM-0001-0002,655,0.160000,104.800000,0.136500,89.407500
MG9BP62H,UKI,UKI-DK-0001-0001,5877600,0.000160,940.416000,0.000130,764.088000
NMSWB51U,UKI,UKI-VM-0001-0001,1160,0.080000,92.800000,0.067900,78.764000
NMSWB51U,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
NMSWB51U,UKI,UKI-DK-0002-0001,11600,0.000160,1.856000,0.000130,1.508000
NMSWB51U,UKI,UKI-IP-0001-0001,1160,0.008000,9.280000,0.007100,8.236000
NMSWB51U,UKI,UKI-SD-0001-0001,23200,0.000160,3.712000,0.000130,3.016000
NMSWB51U,UKI,UKI-VM-0001-0002,580,0.160000,92.800000,0.136500,79.170000
PJZB3WGX,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
PJZB3WGX,UKI,UKI-DK-0003-0001,30560,0.000160,4.889600,0.000130,3.972800
PJZB3WGX,UKI,UKI-DK-0002-0001,97340,0.000160,15.574400,0.000130,12.654200
PJZB3WGX,UKI,UKI-SD-0001-0001,168170,0.000160,26.907200,0.000130,21.862100
PJZB3WGX,UKI,UKI-NW-0002-0001,87,0.023000,2.001000,0.014900,1.296300
PJZB3WGX,UKI,UKI-DK-0001-0001,287350,0.000160,45.976000,0.000130,37.355500
PJZB3WGX,UKI,UKI-VM-0001-0001,425,0.080000,34.000000,0.067900,28.857500
PJZB3WGX,UKI,UKI-IP-0001-0001,1454,0.008000,11.632000,0.007100,10.323400
S1LJDFKS,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
S1LJDFKS,UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.272400,202.665600
S1LJDFKS,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
S1LJDFKS,UKI,UKI-SD-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
S1LJDFKS,UKI,UKI-DK-0001-0001,74400,0.000160,11.904000,0.000130,9.672000
XEES4RCC,UKI,UKI-DK-0003-0001,29760,0.000160,4.761600,0.000130,3.868800
XEES4RCC,UKI,UKI-NW-0001-0001,15,0.121000,1.815000,0.007100,0.106500
XEES4RCC,UKI,UKI-VM-0001-0003,2723,0.320000,871.360000,0.272400,741.745200
XEES4RCC,UKI,UKI-DK-0002-0001,186000,0.000160,29.760000,0.000130,24.180000
XEES4RCC,UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
XEES4RCC,UKI,UKI-SD-0001-0001,251780,0.000160,40.284800,0.000130,32.731400
XEES4RCC,UKI,UKI-DK-0001-0001,667320,0.000160,106.771200,0.000130,86.751600
XEES4RCC,UKI,UKI-VM-0001-0001,2338,0.080000,187.040000,0.067900,158.750200
XEES4RCC,UKI,UKI-VM-0001-0002,793,0.160000,126.880000,0.136500,108.244500
XEES4RCC,UKI,UKI-IP-0001-0001,4919,0.008000,39.352000,0.007100,34.924900
Y3RXE7SE,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
Y3RXE7SE,UKI,UKI-VM-0001-0003,215,0.320000,68.800000,0.272400,58.566000
Y3RXE7SE,UKI,UKI-DK-0002-0001,7440,0.000160,1.190400,0.000130,0.967200
Y3RXE7SE,UKI,UKI-NW-0002-0001,744,0.023000,17.112000,0.014900,11.085600
Y3RXE7SE,UKI,UKI-SD-0001-0001,37200,0.000160,5.952000,0.000130,4.836000
Y3RXE7SE,UKI,UKI-DK-0001-0001,163680,0.000160,26.188800,0.000130,21.278400
