ContractID,HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
8CV7NHBH,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
8CV7NHBH,DEU,DEU-SD-0001-0001,126480,0.000190,24.031200,0.000160,20.236800
8CV7NHBH,DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
8CV7NHBH,DEU,DEU-DK-0002-0001,29760,0.000190,5.654400,0.000160,4.761600
8CV7NHBH,-,Total,-,-,1785.1506,-,535.8153
8RTU9257,UKI,UKI-SD-0001-0001,80,0.000160,0.012800,0.000160,0.012800
8RTU9257,-,Total,-,-,0.0128,-,0.0128
8Z3WL3CM,DEU,DEU-VM-0001-0002,2232,0.973000,2171.736000,0.167700,374.306400
8Z3WL3CM,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
8Z3WL3CM,DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
8Z3WL3CM,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
8Z3WL3CM,DEU,DEU-SD-0001-0001,89280,0.000190,16.963200,0.000160,14.284800
8Z3WL3CM,-,Total,-,-,2210.2752,-,406.968
9GNANKPF,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
9GNANKPF,DEU,DEU-DK-0001-0001,22320,0.000190,4.240800,0.000160,3.571200
9GNANKPF,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
9GNANKPF,DEU,DEU-SD-0001-0001,7440,0.000190,1.413600,0.000160,1.190400
9GNANKPF,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
9GNANKPF,DEU,DEU-DK-0003-0001,7440,0.000190,1.413600,0.000160,1.190400
9GNANKPF,-,Total,-,-,87.5688,-,74.5488
ABJVGLX4,DEU,DEU-SD-0001-0001,29760,0.000190,5.654400,0.000160,4.761600
ABJVGLX4,DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
ABJVGLX4,-,Total,-,-,78.7152,-,66.8856
AXE0X2WT,DEU,DEU-DK-0003-0002,74400,0.000190,14.136000,0.000160,11.904000
AXE0X2WT,DEU,DEU-VM-0001-0002,5938,0.973000,5777.674000,0.167700,995.802600
AXE0X2WT,DEU,DEU-DK-0001-0001,1577280,0.000190,299.683200,0.000160,252.364800
AXE0X2WT,DEU,DEU-IP-0001-0001,8184,0.010000,81.840000,0.008700,71.200800
AXE0X2WT,DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
